Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3016672,00000100,false,Rx,0,8,00,00,00,00,B3,01,F0,00,
3026579,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
3036499,00000102,false,Rx,0,8,02,9A,01,00,00,C8,03,00,
3046982,00000200,false,Rx,0,8,FF,00,00,00,FA,00,FF,FF,
3081897,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3082179,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3082455,00000208,false,Rx,0,8,FF,F4,01,FF,00,00,00,00,
3082618,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3116834,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3126847,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3136829,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3146887,00000200,false,Rx,0,8,FF,00,00,00,FA,00,FF,FF,
3181877,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3182037,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3182314,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3182594,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3216889,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3226910,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3237008,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3246944,00000200,false,Rx,0,8,FF,00,00,00,FA,00,FF,FF,
3281891,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3282167,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3282324,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3282602,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3317077,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3326982,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3337023,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3347027,00000200,false,Rx,0,8,FF,00,00,00,FA,00,FF,FF,
3381983,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3382143,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3382420,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3382702,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3417155,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3427171,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3437234,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3447362,00000200,false,Rx,0,8,FF,00,00,00,FA,00,FF,FF,
3481765,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3482045,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3482320,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3482487,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3517259,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3527276,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3537224,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3547276,00000200,false,Rx,0,8,FF,00,00,00,FA,00,FF,FF,
3581784,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3582120,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3582292,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3582572,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3617365,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3627389,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3637450,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3647368,00000200,false,Rx,0,8,FF,00,00,00,FA,00,FF,FF,
3681922,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3682200,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3682476,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3682764,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3717484,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3727504,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3737450,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3747445,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
3781824,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3782101,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3782376,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3782536,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3817508,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3827538,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3837605,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3847621,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
3881788,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
3882074,00000109,false,Rx,0,8,02,00,00,00,01,20,FF,FF,
3882350,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
3882509,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
3917647,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
3927670,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
3937621,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
3947873,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
